name,rate,votes
Onesta,4.4,4381
Cafe Potpourri,3.7,131
De Oxford Cafe,3.7,34
Vinaya Coffee Moments,3.7,46
Brew Point,3.6,10
The Cravery,2.6,18
Cuppa,3.4,48
Anju's Cafe,3.4,6
Skytouch Le Cafe,3.7,127
Woodee Pizza,2.7,85
Hearts Unlock Cafe,3.2,11
eat.fit,4.5,1178
Sai Abhiruchi,3.7,335
Capsicum Family Restaurant,3.8,254
Box Magic,3.6,21
Maa'r Rannaghor,3.8,20
Easy Bites,4.1,63
Hiyar Majhe Kolkata,4.0,244
Dabba Gosht,3.4,9
Empire Restaurant,3.6,113
Punjabites,3.7,5
Sri Lakshmi Dhaba,2.9,255
XO Belgian Waffle,4.5,549
Swadista Aahar,4.1,775
Vegetarea,3.9,38
Al-Bek,3.6,208
Aniram's,4.1,739
Punjabi Nawabi,3.8,310
YummRajj,3.3,42
Swad Punjab Da,4.0,126
BOX8- Desi Meals,4.1,427
Roti Wala,4.0,197
Midnight Mania,4.1,601
Kitchens@JP Nagar,3.9,488
Krishna Kuteera,4.0,396
Apna Punjab,3.6,474
Paratha Junction,2.9,172
Nellore Bhojanam,3.1,175
Momoz,4.0,939
Kalingas,3.9,173
Kanteen The Eatery,3.9,77
Kullad Cafe,3.9,326
Donne Biriyani House,3.3,212
Litti Twist,4.1,464
FreshMenu,3.3,628
Shanthi Sagar,3.6,518
Cakebuy,3.9,70
Five Star Chicken,3.9,62
Corner House Ice Cream,4.4,819
Delight Food,2.6,171
Andhra Kitchen,3.9,158
Veg By Nature,3.4,14
Fattoush,4.2,1964
Chicken Magic,3.7,207
Behrouz Biryani,4.0,138
Abhiruchi Hotel,3.3,455
Swathi Restaurant,3.9,14
Fresh Kitchen,3.4,13
Hind Ka Chulah,3.8,181
Kuttanad,3.6,140
New Mahesh Friends Food Corner,3.2,44
Bohra Bohra CafÃÂÃÂÃÂÃÂ©,3.6,43
Pizza Hut,2.7,159
Shree Krishna Sannidhi,3.4,76
BingeJoy!,3.6,16
Shiv Sai Hotel,3.5,74
MRA,3.9,20
Beijing Bites,3.7,9
A2B - Adyar Ananda Bhavan,4.1,51
Burj Hotel,3.5,53
Shaadi Ki Biryani,3.1,28
Subway,3.2,166
Madeena Hotel,3.9,50
Biryani Durbar,3.7,128
